STREET NAME ID,STREET PREFIX DIRECTION,STREET PREFIX TYPE,STREET NAME,STREET SUFFIX TYPE,STREET SUFFIX DIRECTION,STREET EXTENSION,POSTAL COMMUNITY,MUNICIPAL COMMUNITY,NOTATION,PRIVATE STREET,FRONTAGE ROAD
1541,,,DUANE,ST,,,BATON ROUGE,BATON ROUGE,,NO,NO
1542,,,DUBLIN,ST,,,BATON ROUGE,BATON ROUGE,,NO,NO
1544,,,DUBOIS,DR,,,BATON ROUGE,BATON ROUGE,,NO,NO
1546,,,DUCHESS,DR,,,BATON ROUGE,BATON ROUGE,,NO,NO
1547,,,DUCK,ST,,,BATON ROUGE,BATON ROUGE,,NO,NO
1549,,,DUKE,ST,,,BATON ROUGE,BATON ROUGE,,NO,NO
155,,,AMBERALYNN,DR,,,BATON ROUGE,BATON ROUGE,,NO,NO
1550,,,DUMAINE,AVE,,,BATON ROUGE,PARISH,,NO,NO
1552,,,DUMONT,DR,,,BATON ROUGE,BATON ROUGE,,NO,NO
1553,N,,DUMONT,DR,,,BATON ROUGE,BATON ROUGE,,NO,NO
1555,,,DUNCAN,DR,,,BATON ROUGE,BATON ROUGE,,NO,NO
1556,,,DUNCAN KENNER,DR,,,BATON ROUGE,BATON ROUGE,,NO,NO
1557,,,DUNDEE,DR,,,BAKER,CENTRAL,,NO,NO
1558,,,DUNLAY,AVE,,,BATON ROUGE,PARISH,,NO,NO
1559,,,DUNN,DR,,,BATON ROUGE,PARISH,,NO,NO
156,,,AMBERWOOD,DR,,,BATON ROUGE,PARISH,,NO,NO
1560,,,DUNSTAN,CIR,,,BATON ROUGE,BATON ROUGE,,NO,NO
1561,,,DUPLANTIER,BLVD,,,BATON ROUGE,BATON ROUGE,,NO,NO
1562,,,DURANDE,DR,,,BATON ROUGE,BATON ROUGE,,NO,NO
1563,,,DURHAM,PL,,,BATON ROUGE,BATON ROUGE,,NO,NO
1564,,,DURMAST,DR,,,GREENWELL SPRINGS,CENTRAL,,NO,NO
1565,,,DURWARD,AVE,,,BATON ROUGE,PARISH,,NO,NO
1567,,,DUTCH HIGHLAND,LN,,,BATON ROUGE,BATON ROUGE,,YES,NO
1569,,,DUTTON,AVE,,,BATON ROUGE,BATON ROUGE,,NO,NO
157,,,AMBROSE,CT,,,BATON ROUGE,BATON ROUGE,,YES,NO
1570,,,DWYERWOOD,AVE,,,BATON ROUGE,PARISH,,NO,NO
1571,,,DYER,RD,,,BAKER,"CENTRAL,PARISH",,NO,NO
1572,,,EAGLE,ST,,,BATON ROUGE,BATON ROUGE,,NO,NO
1573,,,EAGLEWOOD,DR,,,BATON ROUGE,PARISH,,NO,NO
1574,,,EARL GROS,AVE,,,BATON ROUGE,BATON ROUGE,,NO,NO
1575,,,EARL'S,CT,,,BATON ROUGE,PARISH,,NO,NO
1576,,,EASBY,AVE,,,"GREENWELL SPRINGS,PRIDE",CENTRAL,,NO,NO
1577,,,EAST,BLVD,,,BATON ROUGE,BATON ROUGE,,NO,NO
1578,,,EAST,DR,,,BATON ROUGE,BATON ROUGE,,NO,NO
158,,,AMELIA,DR,,,BATON ROUGE,PARISH,,YES,NO
1581,,,EASTGATE,DR,,,BATON ROUGE,BATON ROUGE,,NO,NO
1582,S,,MARIBEL,CT,,,BATON ROUGE,PARISH,,NO,NO
1584,,,EASTLAND,AVE,,,BATON ROUGE,BATON ROUGE,,NO,NO
1585,E,,MEADOW,CT,,,ZACHARY,ZACHARY,,NO,NO
1587,,,EASTRIDGE,AVE,,,BATON ROUGE,PARISH,,NO,NO
1588,,,EASTWOOD,DR,,,BATON ROUGE,BATON ROUGE,,NO,NO
1589,E,,WOODCHASE,DR,,,BATON ROUGE,BATON ROUGE,,NO,NO
159,,,AMELIA EARHART,AVE,,,BATON ROUGE,BATON ROUGE,,NO,NO
1590,,,EATON,ST,,,BATON ROUGE,BATON ROUGE,,NO,NO
1591,,,EBONY,AVE,,,BATON ROUGE,BATON ROUGE,,NO,NO
1592,,,ECTOR,DR,,,BAKER,BAKER,,NO,NO
1593,,,ED HUGHES,CT,,,ZACHARY,PARISH,,NO,NO
1594,,,EDDIE ROBINSON SR,DR,,,BATON ROUGE,BATON ROUGE,SEE STREET NAME CHANGE LIST,NO,NO
1596,,,EDGAR,ST,,,BATON ROUGE,PARISH,,NO,NO
1597,,,EDGEBROOK,DR,,,BATON ROUGE,PARISH,,NO,NO
1598,,,EDGEHAVEN,DR,,,BATON ROUGE,PARISH,,YES,NO
1599,,,EDGEMONT,DR,,,BATON ROUGE,BATON ROUGE,,NO,NO
16,N,,15TH,ST,,,BATON ROUGE,BATON ROUGE,,NO,NO
160,,,AMELIA VIEW,AVE,,,BATON ROUGE,PARISH,,NO,NO
